  time              x              y              z             vx             vy             vz
  8.85       1.022069     -0.4264505              0      2.9186329      4.9266218              0
   8.9       1.130868    -0.16462607              0      1.4281284      5.3453568              0
  8.95      1.1648819     0.10808519              0   -0.037766876      5.3876003              0
     9      1.1270913     0.37413396              0     -1.4199927       5.100503              0
  9.05      1.0228826     0.61813549              0     -2.6755444      4.5226608              0
   9.1     0.85953685     0.82640004              0      -3.767334      3.6841644              0
  9.15      0.6461492     0.98655193              0     -4.6565639      2.6093941              0
   9.2     0.39388046      1.0873395              0     -5.2967072       1.321927              0
  9.25     0.11647848      1.1187446              0     -5.6288243    -0.14781171              0
   9.3    -0.16900197      1.0725583              0     -5.5793065      -1.750681              0
  9.35    -0.44145218     0.94367653              0     -5.0637073     -3.4012705              0
   9.4     -0.6753727     0.73243124              0       -4.00436     -4.9559031              0
  9.45    -0.84188817     0.44808621              0     -2.3724334     -6.1967201              0
   9.5    -0.91261604     0.11275923              0    -0.25617019     -6.8496653              0
  9.55    -0.86750519    -0.23688032              0      2.0795755     -6.6713024              0
   9.6    -0.70465849    -0.55437101              0      4.2218713     -5.5906755              0
  9.65    -0.44531806    -0.79594787              0      5.7661164     -3.7961001              0
   9.7    -0.12804685    -0.93398102              0      6.4962668     -1.6604091              0
  9.75     0.20430862    -0.96198878              0      6.4351092      0.4380487              0
   9.8     0.51546408    -0.89017615              0      5.7556994      2.2434417              0
  9.85     0.77987856    -0.73764461              0      4.6660448      3.6391784              0
   9.9     0.98206856    -0.52625831              0      3.3430379      4.6032413              0
  9.95      1.1141824    -0.27732048              0       1.915785      5.1595805              0
    10      1.1736471   -0.010300257              0      0.4728627      5.3466921              0
  10.1      1.1614686     0.25734873              0    -0.92443691      5.2021184              0
  10.1      1.0812034     0.50991159              0       -2.22998      4.7566513              0
  10.2     0.93847062     0.73301385              0     -3.4031709      4.0336144              0
  10.2     0.74088627     0.91327302              0     -4.4012881      3.0509707              0
  10.3     0.49834181      1.0381109              0      -5.172998      1.8257635              0
  10.3     0.22358647      1.0958494              0     -5.6528401     0.38168117              0
  10.4   -0.066942199       1.076279              0     -5.7578857     -1.2385067              0
  10.4    -0.35220209      0.9719987              0     -5.3906186     -2.9537748              0
  10.5    -0.60600406     0.78090156              0     -4.4567391     -4.6199781              0
  10.5      -0.797876     0.51000089              0     -2.9100554     -6.0107951              0
  10.6     -0.8970096     0.17982205              0    -0.82645841     -6.8353611              0
  10.6    -0.88052184    -0.17353522              0      1.5320075     -6.8302028              0
  10.7    -0.74380885    -0.50319823              0      3.7479068     -5.9075122              0
  10.7    -0.50573116    -0.76428645              0      5.4100089     -4.2417864              0
  10.8    -0.20280797    -0.92737688              0      6.2924459     -2.1918821              0
  10.8     0.12351343    -0.98347466              0      6.4012495    -0.12522307              0
  10.9     0.43731699    -0.93989918              0      5.8886426      1.7041863              0
  10.9     0.71237769    -0.81305603              0      4.9446137      3.1721263              0
    11     0.93177836    -0.62268656              0       3.734651      4.2440168              0
    11      1.0858428    -0.38865434              0      2.3826751      4.9306981              0
  11.1      1.1700459    -0.12961675              0     0.97620047      5.2591682              0
  11.1      1.1834628     0.13726248              0    -0.42235456      5.2574752              0
  11.2      1.1278104     0.39613078              0     -1.7647429      4.9484656              0
  11.2      1.0069885     0.63210904              0     -3.0077813      4.3483655              0
  11.3     0.82703229     0.83096733              0     -4.1056611      3.4682198              0
  11.3     0.59642244     0.97893102              0     -5.0029911      2.3178485              0
  11.4     0.32673318      1.0627522              0     -5.6284033     0.91329003              0
  11.4    0.033582109        1.07026              0     -5.8900174    -0.71020291              0
  11.5    -0.26226856     0.99173189              0     -5.6772261     -2.4772847              0
