  time              x              y              z             vx             vy             vz
  10.9    -0.99738747    -0.22559562              0      2.2754519     -5.7817731              0
    11    -0.88361488    -0.51468427              0      3.9066157     -4.8316596              0
    11    -0.68828409    -0.75626725              0      5.1771965     -3.4355811              0
  11.1    -0.42942427    -0.92804631              0      5.9699189     -1.7223963              0
  11.1    -0.13092832     -1.0141661              0      6.2116142     0.14976667              0
  11.2     0.17965239     -1.0066778              0      5.8799737      2.0081061              0
  11.2     0.47365107    -0.90627249              0      5.0056081      3.6810961              0
  11.3     0.72393147    -0.72221768              0      3.6692218      5.0143188              0
  11.3     0.90739256    -0.47150174              0      1.9941641      5.8847167              0
  11.4      1.0071008    -0.17726591              0     0.13504381      6.2119517              0
  11.4       1.013853     0.13333168              0     -1.7365411      5.9658198              0
  11.5      0.9270259     0.43162267              0     -3.4478422      5.1690391              0
  11.5     0.75463379     0.69007463              0     -4.8409053       3.895153              0
  11.6     0.51258853     0.88483228              0       -5.78715      2.2617418              0
  11.6     0.22323103     0.99791937              0     -6.1992372     0.41957055              0
  11.7   -0.086730829      1.0188979              0      -6.039131     -1.4613274              0
  11.7    -0.38868738     0.94583153              0     -5.3216094     -3.2073438              0
  11.8    -0.65476785     0.78546433              0        -4.1129     -4.6573206              0
  11.8    -0.86041285     0.55259831              0     -2.5245674     -5.6774237              0
  11.9    -0.98664122     0.26872712              0    -0.70321572     -6.1734973              0
  11.9      -1.021802   -0.039947745              0      1.1830432     -6.0997533              0
    12    -0.96264984    -0.34493541              0      2.9601065     -5.4629983              0
    12    -0.81464452    -0.61808532              0      4.4639502     -4.3220053              0
  12.1    -0.59144701    -0.83418559              0      5.5557686     -2.7820885              0
  12.1    -0.31365858    -0.97329001              0      6.1347861    -0.98538335              0
  12.2  -0.0069192734     -1.0225592              0      6.1475592     0.90227333              0
  12.2     0.30045869    -0.97744551              0      5.5929088      2.7066496              0
  12.3     0.58010412    -0.84211303              0      4.5220295      4.2612005              0
  12.3      0.8062056    -0.62905301              0      3.0337642        5.42244              0
  12.4     0.95789381      -0.357931              0      1.2654806       6.083185              0
  12.4      1.0211678   -0.053771754              0    -0.61960768      6.1824483              0
  12.5     0.99018745     0.25535066              0     -2.4475058      5.7110679              0
  12.5     0.86781217     0.54090406              0     -4.0494976      4.7125524              0
  12.6     0.66533729     0.77653168              0     -5.2777183      3.2790655              0
  12.6     0.40145137     0.94048495              0     -6.0188024      1.5429189              0
  12.7     0.10051125      1.0176309              0     -6.2043474    -0.33564016              0
  12.7    -0.20970612      1.0008489              0     -5.8172274     -2.1832194              0
  12.8    -0.50056748     0.89168792              0     -4.8931737     -3.8292861              0
  12.8    -0.74522617     0.70022362              0     -3.5174771     -5.1219074              0
  12.9    -0.92110003     0.44412824              0     -1.8171153     -5.9417736              0
  12.9     -1.0119558     0.14703957              0    0.050967409     -6.2132104              0
    13     -1.0094074    -0.16362095              0      1.9143458     -5.9111641              0
    13    -0.91369013    -0.45917916              0      3.6010289     -5.0635138              0
  13.1    -0.73363869    -0.71235485              0      4.9553348     -3.7484981              0
  13.1    -0.48587195    -0.89977975              0      5.8522603     -2.0874937              0
  13.2    -0.19325893     -1.0041544              0      6.2090187    -0.23381243              0
  13.2       0.117192     -1.0158451              0      5.9926808      1.6414499              0
  13.3     0.41682604    -0.93377257              0      5.2232149      3.3652054              0
  13.3     0.67798678     -0.7655123              0       3.971643      4.7783504              0
  13.4     0.87656894    -0.52659477              0      2.3534861      5.7504508              0
  13.4     0.99424324    -0.23907224              0     0.51810099       6.191781              0
  13.5      1.0201483    0.070516816              0     -1.3651052      6.0616061              0
  13.5     0.95189303     0.37359712              0     -3.1223113      5.3719413              0
  13.6     0.79577747     0.64219419              0     -4.5913261       4.186443              0
  13.6     0.56621116     0.85151634              0     -5.6365588      2.6145335              0
  13.7     0.28438322     0.98224301              0     -6.1615337     0.80130096              0
  13.7   -0.023693466      1.0223081              0     -6.1177953     -1.0858921              0
  13.8    -0.32958323     0.96801346              0     -5.5093806     -2.8728568              0
  13.8    -0.60505226     0.82437062              0     -4.3924468     -4.3946549              0
  13.9     -0.8246746     0.60463787              0     -2.8700875     -5.5108238              0
  13.9    -0.96817898     0.32909668              0     -1.0828173     -6.1183403              0
    14     -1.0223198    0.023179667              0     0.80439755     -6.1611302              0
    14    -0.98209996    -0.28487684              0       2.617366     -5.6352441              0
  14.1    -0.85123166    -0.56663905              0        4.18875     -4.5892215              0
  14.1    -0.64179416    -0.79610012              0      5.3735098      -3.119611              0
  14.2    -0.37311867    -0.95208068              0      6.0622914     -1.3620585              0
  14.2   -0.070004097     -1.0201836              0      6.1915199     0.52121281              0
  14.3      0.2395719    -0.99412296              0      5.7492672      2.3563759              0
  14.3     0.52703526    -0.87630417              0      4.7763537       3.974044              0
  14.4     0.76585294    -0.67760197              0      3.3625799      5.2249055              0
  14.4     0.93398194    -0.41635669              0      1.6384379       5.993505              0
  14.5      1.0159038    -0.11668144              0    -0.23693295      6.2089004              0
  14.5      1.0040572     0.19376358              0     -2.0904347      5.8512104              0
  14.6     0.89953545      0.4863241              0     -3.7509881      4.9534502              0
  14.6     0.71198604     0.73399661              0      -5.065323      3.5984836              0
  14.7      0.4587199     0.91392079              0     -5.9121255      1.9113747              0
  14.7     0.16311362      1.0094895              0     -6.2132352    0.047844745              0
  14.8    -0.14754814      1.0118818              0     -5.9408596     -1.8201013              0
  14.8    -0.44459112      0.9208767              0     -5.1201389     -3.5200509              0
  14.9    -0.70059807     0.74487415              0     -3.8268264     -4.8950976              0
  14.9    -0.89193939     0.50011927              0     -2.1802955     -5.8183239              0
    15     -1.0009542     0.20920308              0    -0.33252191     -6.2045153              0
    15     -1.0175803    -0.10102269              0      1.5459436     -6.0180262              0
  15.1    -0.94028307    -0.40192399              0      3.2817176     -5.2760696              0
  15.1    -0.77619719    -0.66572748              0       4.714587     -4.0471286              0
  15.2    -0.54046784    -0.86808391              0      5.7122973     -2.4446352              0
  15.2    -0.25485298    -0.99031566              0      6.1827589    -0.61650041              0
  15.3    0.054284969     -1.0211407              0      6.0825482      1.2685377              0
  15.3     0.35841238     -0.9577138              0      5.4209146       3.036489              0
  15.4     0.62945811    -0.80588935              0      4.2589273      4.5241706              0
  15.4     0.84240448    -0.57968082              0      2.7038384      5.5942684              0
  15.5      0.9775964     -0.2999674              0     0.89918356      6.1480119              0
  15.5      1.0225556    0.007433194              0    -0.98846646      6.1342901              0
  15.6     0.97313225      0.3141477              0     -2.7848804      5.5543696              0
  15.6     0.83388823     0.59186618              0     -4.3242482      4.4617775              0
  15.7     0.61767582     0.81495505              0     -5.4644853      2.9573605              0
  15.7     0.34445155     0.96282308              0     -6.1003471      1.1799774              0
  15.8    0.039434199       1.021822              0     -6.1731431    -0.70631833              0
  15.8    -0.26922295     0.98650603              0     -5.6761542     -2.5274205              0
  15.9    -0.55303067     0.86013501              0     -4.6552529     -4.1152401              0
  15.9    -0.78579331       0.654373              0     -3.2046689     -5.3232207              0
    16    -0.94602675     0.38821197              0      -1.458292     -6.0398647              0
    16     -1.0189414    0.086218736              0     0.42268613     -6.1990255              0
  16.1    -0.99780705    -0.22373254              0      2.2646501     -5.7860125              0
  16.1    -0.88457454    -0.51303317              0      3.8975854     -4.8389471              0
  16.2    -0.68969527    -0.75498052              0      5.1707713     -3.4452439              0
  16.2    -0.43115671    -0.92724271              0      5.9666918     -1.7335425              0
  16.3    -0.13282212     -1.0139198              0      6.2118831     0.13816582              0
  16.3     0.17777204     -1.0070115              0      5.8837137      1.9971214              0
  16.4     0.47195772    -0.90715548              0       5.012474      3.6717414              0
  16.4     0.72258142    -0.72356841              0      3.6785799      5.0074575              0
  16.5     0.90651042    -0.47319553              0      2.0051507      5.8809822              0
  16.5       1.006768    -0.17914642              0      0.1466448      6.2116887              0
  16.6      1.0141002     0.13143801              0     -1.7253965      5.9690525              0
  16.6     0.92783037     0.42989064              0     -3.4381826      5.1754692              0
  16.7     0.75592124      0.6886641              0     -4.8336224      3.9041869              0
  16.7     0.51424012     0.88387344              0     -5.7829159      2.2725458              0
  16.8     0.22509432     0.99750073              0     -6.1984428      0.4311473              0
  16.8   -0.084827819      1.0190581              0     -6.0418496     -1.4500463              0
  16.9     -0.3869203     0.94655578              0       -5.32759     -3.1973998              0
  16.9     -0.6532998     0.78668579              0     -4.1215907     -4.6496313              0
    17    -0.85937933     0.55420422              0      -2.535166     -5.6726991              0
    17    -0.98613763     0.27056927              0     -0.7147439     -6.1721732              0
  17.1     -1.0218748   -0.038039393              0      1.1716494      -6.101952              0
  17.1    -0.96329235    -0.34313699              0      2.9498988      -5.468517              0
  17.2    -0.81579741    -0.61656284              0      4.4558708     -4.3303345              0
  17.2    -0.59300387    -0.83307957              0      5.5505631     -2.7924595              0
  17.3    -0.31547571    -0.97270254              0      6.1329351    -0.99683874              0
  17.3  -0.0088289577     -1.0225445              0      6.1492335     0.89079079              0
  17.4     0.29863272    -0.97800494              0      5.5979539      2.6961998              0
  17.4     0.57853041    -0.84319495              0      4.5299797      4.2527479              0
  17.5      0.8050294    -0.63055755              0      3.0438857      5.4167648              0
  17.5     0.95722368    -0.35971931              0      1.2768391       6.080811              0
  17.6      1.0210656   -0.055678758              0    -0.60806047      6.1835947              0
  17.6     0.99066261     0.25350098              0     -2.4368357      5.7156288              0
  17.7     0.86882083     0.53928242              0     -4.0406895      4.7201069              0
  17.7     0.66678635     0.77528776              0     -5.2715852      3.2889163              0
  17.8     0.40320709     0.93973358              0     -6.0159104      1.5541567              0
  17.8     0.10241157      1.0174414              0     -6.2049634    -0.32405254              0
  17.9     -0.2078366      1.0012388              0     -5.8212945     -2.1723515              0
  17.9    -0.49890133     0.89262121              0     -4.9003166     -3.8201411              0
    18    -0.74391716     0.70161415              0     -3.5270365     -5.1153294              0
    18    -0.92026898     0.44584768              0     -1.8282088     -5.9383696              0
  18.1     -1.0116794      0.1489292              0    0.039363743     -6.2132947              0
  18.1     -1.0097112    -0.16173553              0       1.903303      -5.914729              0
  18.2    -0.91454608    -0.45747198              0      3.5915661     -5.0702301              0
  18.2    -0.73496778    -0.71098349              0      4.9483256      -3.757746              0
  18.3     -0.4875515    -0.89887079              0      5.8483516     -2.0984196              0
